nname,vname,vname_ing,syn,def,synset,add_def
bicycle,sit_on,sitting_on,"sit, sit_down",be seated,"{'id': 1, 'wid': 'v01543123', 'name': 'sit.v.01', 'count': '135', 'syn': 'sit sit_down', 'def': 'be seated', 'ex': []}",[]
bicycle,straddle,straddling,straddle,sit or stand astride of,"{'id': 1, 'wid': 'v02705913', 'name': 'straddle.v.01', 'count': '4', 'syn': 'straddle', 'def': 'sit or stand astride of', 'ex': []}",[]
bicycle,walk,walking,walk,to accompany on foot; to cause to move by walking,"{'id': 9, 'wid': 'v01906823', 'name': 'walk.v.09', 'count': '0', 'syn': 'walk', 'def': 'make walk', 'ex': 'H'}",[]
bicycle,wash,washing,"wash, rinse",clean with some chemical process,"{'id': 1, 'wid': 'v01270199', 'name': 'wash.v.01', 'count': '14', 'syn': 'wash rinse', 'def': 'clean with some chemical process', 'ex': []}",[]
bicycle,no_interaction,no_interaction,[],[],"{'id': 1, 'wid': 'v01270199', 'name': 'wash.v.01', 'count': '14', 'syn': 'wash rinse', 'def': 'clean with some chemical process', 'ex': []}",[]
bird,chase,chasing,"chase, chase_after, trail, tail, tag, give_chase, dog, go_after, track",go after with the intent to catch,"{'id': 1, 'wid': 'v02001858', 'name': 'chase.v.01', 'count': '23', 'syn': 'chase chase_after trail tail tag give_chase dog go_after track', 'def': 'go after with the intent to catch', 'ex': 'T'}",[]
bird,feed,feeding,"feed, give",give food to,"{'id': 2, 'wid': 'v01178565', 'name': 'feed.v.02', 'count': '19', 'syn': 'feed give', 'def': 'give food to', 'ex': 'F'}",[]
bird,hold,holding,"hold, take_hold",held by hand; to have or maintain in the grasp; to attach the hand to,"{'id': 2, 'wid': 'v01216670', 'name': 'hold.v.02', 'count': '67', 'syn': 'hold take_hold', 'def': ""have or hold in one's hands or grip"", 'ex': 'H'}",[]
bird,pet,petting,pet,stroke or caress gently,"{'id': 1, 'wid': 'v01425892', 'name': 'pet.v.01', 'count': '1', 'syn': 'pet', 'def': 'stroke or caress gently', 'ex': 'p'}",[]
bird,release,releasing,"let_go_of, let_go, release, relinquish","release, as from one's grip","{'id': 1, 'wid': 'v01474550', 'name': 'let_go_of.v.01', 'count': '23', 'syn': 'let_go_of let_go release relinquish', 'def': ""release, as from one's grip"", 'ex': 'L'}",[]
bird,watch,watching,watch,watch with appreciation; to look at for an amount of time,"{'id': 1, 'wid': 'v02150510', 'name': 'watch.v.01', 'count': '77', 'syn': 'watch', 'def': 'look attentively', 'ex': 'w'}",[]
bird,no_interaction,no_interaction,[],[],"{'id': 1, 'wid': 'v02150510', 'name': 'watch.v.01', 'count': '77', 'syn': 'watch', 'def': 'look attentively', 'ex': 'w'}",[]
boat,board,boarding,"board, get_on","get on board of (trains, buses, ships, aircraft, etc.)","{'id': 1, 'wid': 'v02018049', 'name': 'board.v.01', 'count': '6', 'syn': 'board get_on', 'def': 'get on board of (trains, buses, ships, aircraft, etc.)', 'ex': []}",[]
boat,drive,driving,drive,operate or control a vehicle,"{'id': 1, 'wid': 'v01930874', 'name': 'drive.v.01', 'count': '56', 'syn': 'drive', 'def': 'operate or control a vehicle', 'ex': 'd'}",['driving a machine boat / driving with a rudder']
boat,exit,exiting,"exit, go_out, get_out, leave",move out of or depart from,"{'id': 1, 'wid': 'v02015598', 'name': 'exit.v.01', 'count': '72', 'syn': 'exit go_out get_out leave', 'def': 'move out of or depart from', 'ex': 'l'}",[]
boat,inspect,inspecting,inspect,"to look at (something) carefully in order to learn more about it, to find problems, etc.","{'id': 1, 'wid': 'v02165543', 'name': 'inspect.v.01', 'count': '13', 'syn': 'inspect', 'def': 'look over carefully', 'ex': 'P'}",[]
boat,jump,jumping,"jump, leap",cause to jump or leap,"{'id': 11, 'wid': 'v01965156', 'name': 'jump.v.11', 'count': '0', 'syn': 'jump leap', 'def': 'cause to jump or leap', 'ex': 't'}",['the boat has to be in the air']
boat,launch,launching,launch,to put (a boat or ship) on the water,"{'id': 2, 'wid': 'v01514655', 'name': 'launch.v.02', 'count': '6', 'syn': 'launch', 'def': 'propel with force', 'ex': 'l'}",[]
boat,repair,repairing,"repair, mend, fix, bushel, doctor, furbish_up, restore, touch_on",restore by replacing a part or putting together what is torn or broken,"{'id': 1, 'wid': 'v00260648', 'name': 'repair.v.01', 'count': '26', 'syn': 'repair mend fix bushel doctor furbish_up restore touch_on', 'def': 'restore by replacing a part or putting together what is torn or broken', 'ex': 'S'}",[]
boat,ride,riding,ride,be carried or travel on or in a vehicle,"{'id': 2, 'wid': 'v01955984', 'name': 'ride.v.02', 'count': '30', 'syn': 'ride', 'def': 'be carried or travel on or in a vehicle', 'ex': 'I'}",[]
boat,row,rowing,row,propel with oars,"{'id': 1, 'wid': 'v01946996', 'name': 'row.v.01', 'count': '4', 'syn': 'row', 'def': 'propel with oars', 'ex': 'r'}",[]
boat,sail,sailing,sail,travel on water propelled by wind,"{'id': 3, 'wid': 'v01945516', 'name': 'sail.v.03', 'count': '1', 'syn': 'sail', 'def': 'travel on water propelled by wind', 'ex': 'I'}",[]
boat,sit_on,sitting_on,"sit, sit_down",be seated,"{'id': 1, 'wid': 'v01543123', 'name': 'sit.v.01', 'count': '135', 'syn': 'sit sit_down', 'def': 'be seated', 'ex': []}",[]
boat,stand_on,standing_on,"stand, stand_up",be standing; be upright,"{'id': 1, 'wid': 'v01546111', 'name': 'stand.v.01', 'count': '171', 'syn': 'stand stand_up', 'def': 'be standing; be upright', 'ex': 'W'}",[]
boat,tie,tying,"tie, bind","fasten or secure with a rope, string, or cord","{'id': 1, 'wid': 'v01285440', 'name': 'tie.v.01', 'count': '13', 'syn': 'tie bind', 'def': 'fasten or secure with a rope, string, or cord', 'ex': 'T'}",[]
boat,wash,washing,"wash, rinse",clean with some chemical process,"{'id': 1, 'wid': 'v01270199', 'name': 'wash.v.01', 'count': '14', 'syn': 'wash rinse', 'def': 'clean with some chemical process', 'ex': []}",[]
boat,no_interaction,no_interaction,[],[],"{'id': 1, 'wid': 'v01270199', 'name': 'wash.v.01', 'count': '14', 'syn': 'wash rinse', 'def': 'clean with some chemical process', 'ex': []}",[]
bottle,carry,carrying,"transport, carry","move while supporting, either in a vehicle or in one's hands or on one's body","{'id': 1, 'wid': 'v01449974', 'name': 'transport.v.02', 'count': '74', 'syn': 'transport carry', 'def': ""move while supporting, either in a vehicle or in one's hands or on one's body"", 'ex': 'Y'}",[]
bottle,drink_with,drinking_with,"drink, imbibe",take in liquids,"{'id': 1, 'wid': 'v01170052', 'name': 'drink.v.01', 'count': '30', 'syn': 'drink imbibe', 'def': 'take in liquids', 'ex': 'T'}",[]
bottle,hold,holding,"hold, take_hold",held by hand; to have or maintain in the grasp; to attach the hand to,"{'id': 2, 'wid': 'v01216670', 'name': 'hold.v.02', 'count': '67', 'syn': 'hold take_hold', 'def': ""have or hold in one's hands or grip"", 'ex': 'H'}",[]
bottle,inspect,inspecting,inspect,"to look at (something) carefully in order to learn more about it, to find problems, etc.","{'id': 1, 'wid': 'v02165543', 'name': 'inspect.v.01', 'count': '13', 'syn': 'inspect', 'def': 'look over carefully', 'ex': 'P'}",[]
bottle,lick,licking,"lick, lap",pass the tongue over,"{'id': 2, 'wid': 'v01432176', 'name': 'lick.v.02', 'count': '8', 'syn': 'lick lap', 'def': 'pass the tongue over', 'ex': 't'}",[]
bottle,open,opening,"open, open_up",cause to open or to become open,"{'id': 1, 'wid': 'v01346003', 'name': 'open.v.01', 'count': '68', 'syn': 'open open_up', 'def': 'cause to open or to become open', 'ex': 'M'}",[]
bottle,pour,pouring,"decant, pour, pour_out",pour out,"{'id': 3, 'wid': 'v02070296', 'name': 'decant.v.01', 'count': '7', 'syn': 'decant pour pour_out', 'def': 'pour out', 'ex': 't'}",[]
bottle,no_interaction,no_interaction,[],[],"{'id': 3, 'wid': 'v02070296', 'name': 'decant.v.01', 'count': '7', 'syn': 'decant pour pour_out', 'def': 'pour out', 'ex': 't'}",[]
bus,board,boarding,"board, get_on","get on board of (trains, buses, ships, aircraft, etc.)","{'id': 1, 'wid': 'v02018049', 'name': 'board.v.01', 'count': '6', 'syn': 'board get_on', 'def': 'get on board of (trains, buses, ships, aircraft, etc.)', 'ex': []}",[]
bus,direct,directing,"lead, take, direct, conduct, guide",to show or point out the way for; directing the traffic of,"{'id': 5, 'wid': 'v01999798', 'name': 'lead.v.01', 'count': '131', 'syn': 'lead take direct conduct guide', 'def': 'take somebody somewhere', 'ex': 'W'}",[]
bus,drive,driving,drive,operate or control a vehicle,"{'id': 1, 'wid': 'v01930874', 'name': 'drive.v.01', 'count': '56', 'syn': 'drive', 'def': 'operate or control a vehicle', 'ex': 'd'}",['the driver can be clearly seen in the picture; the bus is on the road']
bus,exit,exiting,"exit, go_out, get_out, leave",move out of or depart from,"{'id': 1, 'wid': 'v02015598', 'name': 'exit.v.01', 'count': '72', 'syn': 'exit go_out get_out leave', 'def': 'move out of or depart from', 'ex': 'l'}",[]
bus,inspect,inspecting,inspect,"to look at (something) carefully in order to learn more about it, to find problems, etc.","{'id': 1, 'wid': 'v02165543', 'name': 'inspect.v.01', 'count': '13', 'syn': 'inspect', 'def': 'look over carefully', 'ex': 'P'}",[]
bus,load,loading,"load, lade, laden, load_up",(a person/worker) put things in/on (the target object),"{'id': 1, 'wid': 'v01489989', 'name': 'load.v.01', 'count': '9', 'syn': 'load lade laden load_up', 'def': 'fill or place a load on', 'ex': 'l'}",[]
bus,ride,riding,ride,be carried or travel on or in a vehicle,"{'id': 2, 'wid': 'v01955984', 'name': 'ride.v.02', 'count': '30', 'syn': 'ride', 'def': 'be carried or travel on or in a vehicle', 'ex': 'I'}",['the rider can be clearly seen in the picture']
bus,sit_on,sitting_on,"sit, sit_down",be seated,"{'id': 1, 'wid': 'v01543123', 'name': 'sit.v.01', 'count': '135', 'syn': 'sit sit_down', 'def': 'be seated', 'ex': []}",['the person sitting can be clearly seen in the picture']
bus,wash,washing,"wash, rinse",clean with some chemical process,"{'id': 1, 'wid': 'v01270199', 'name': 'wash.v.01', 'count': '14', 'syn': 'wash rinse', 'def': 'clean with some chemical process', 'ex': []}",[]
bus,wave,waving,"beckon, wave",signal with the hands or nod,"{'id': 1, 'wid': 'v01041415', 'name': 'beckon.v.01', 'count': '30', 'syn': 'beckon wave', 'def': 'signal with the hands or nod', 'ex': 'S'}",[]
bus,no_interaction,no_interaction,[],[],"{'id': 1, 'wid': 'v01041415', 'name': 'beckon.v.01', 'count': '30', 'syn': 'beckon wave', 'def': 'signal with the hands or nod', 'ex': 'S'}",[]
car,board,boarding,"board, get_on","get on board of (trains, buses, ships, aircraft, etc.)","{'id': 1, 'wid': 'v02018049', 'name': 'board.v.01', 'count': '6', 'syn': 'board get_on', 'def': 'get on board of (trains, buses, ships, aircraft, etc.)', 'ex': []}",[]
car,direct,directing,"lead, take, direct, conduct, guide",to show or point out the way for; directing the traffic of,"{'id': 5, 'wid': 'v01999798', 'name': 'lead.v.01', 'count': '131', 'syn': 'lead take direct conduct guide', 'def': 'take somebody somewhere', 'ex': 'W'}",[]
car,drive,driving,drive,operate or control a vehicle,"{'id': 1, 'wid': 'v01930874', 'name': 'drive.v.01', 'count': '56', 'syn': 'drive', 'def': 'operate or control a vehicle', 'ex': 'd'}",[]
car,hose,hosing,"hose, hose_down",water with a hose,"{'id': 1, 'wid': 'v00228521', 'name': 'hose.v.01', 'count': '0', 'syn': 'hose hose_down', 'def': 'water with a hose', 'ex': 'h'}",[]
car,inspect,inspecting,inspect,"to look at (something) carefully in order to learn more about it, to find problems, etc.","{'id': 1, 'wid': 'v02165543', 'name': 'inspect.v.01', 'count': '13', 'syn': 'inspect', 'def': 'look over carefully', 'ex': 'P'}",[]
car,jump,jumping,"jump, leap",cause to jump or leap,"{'id': 11, 'wid': 'v01965156', 'name': 'jump.v.11', 'count': '0', 'syn': 'jump leap', 'def': 'cause to jump or leap', 'ex': 't'}",[]
car,load,loading,"load, lade, laden, load_up",(a person/worker) put things in/on (the target object),"{'id': 1, 'wid': 'v01489989', 'name': 'load.v.01', 'count': '9', 'syn': 'load lade laden load_up', 'def': 'fill or place a load on', 'ex': 'l'}",[]
car,park,parking,park,place temporarily,"{'id': 1, 'wid': 'v01493380', 'name': 'park.v.01', 'count': '11', 'syn': 'park', 'def': 'place temporarily', 'ex': 'p'}",[]
car,ride,riding,ride,be carried or travel on or in a vehicle,"{'id': 2, 'wid': 'v01955984', 'name': 'ride.v.02', 'count': '30', 'syn': 'ride', 'def': 'be carried or travel on or in a vehicle', 'ex': 'I'}",[]
car,wash,washing,"wash, rinse",clean with some chemical process,"{'id': 1, 'wid': 'v01270199', 'name': 'wash.v.01', 'count': '14', 'syn': 'wash rinse', 'def': 'clean with some chemical process', 'ex': []}",[]
car,no_interaction,no_interaction,[],[],"{'id': 1, 'wid': 'v01270199', 'name': 'wash.v.01', 'count': '14', 'syn': 'wash rinse', 'def': 'clean with some chemical process', 'ex': []}",[]
cat,dry,drying,"dry, dry_out",remove the moisture from and make dry,"{'id': 1, 'wid': 'v00218475', 'name': 'dry.v.01', 'count': '12', 'syn': 'dry dry_out', 'def': 'remove the moisture from and make dry', 'ex': 'd'}",[]
cat,feed,feeding,"feed, give",give food to,"{'id': 2, 'wid': 'v01178565', 'name': 'feed.v.02', 'count': '19', 'syn': 'feed give', 'def': 'give food to', 'ex': 'F'}",[]
cat,hold,holding,"hold, take_hold",held by hand; to have or maintain in the grasp; to attach the hand to,"{'id': 2, 'wid': 'v01216670', 'name': 'hold.v.02', 'count': '67', 'syn': 'hold take_hold', 'def': ""have or hold in one's hands or grip"", 'ex': 'H'}",[]
cat,hug,hugging,"embrace, hug, bosom, squeeze","squeeze (someone) tightly in your arms, usually with fondness","{'id': 1, 'wid': 'v01424456', 'name': 'embrace.v.02', 'count': '9', 'syn': 'embrace hug bosom squeeze', 'def': 'squeeze (someone) tightly in your arms, usually with fondness', 'ex': 'H'}",[]
cat,kiss,kissing,"snog, kiss, buss, osculate","touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.","{'id': 1, 'wid': 'v01431230', 'name': 'snog.v.01', 'count': '18', 'syn': 'snog kiss buss osculate', 'def': ""touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc."", 'ex': 'T'}",[]
cat,pet,petting,pet,stroke or caress gently,"{'id': 1, 'wid': 'v01425892', 'name': 'pet.v.01', 'count': '1', 'syn': 'pet', 'def': 'stroke or caress gently', 'ex': 'p'}",[]
cat,scratch,scratching,"rub, scratch, itch",scrape or rub as if to relieve itching,"{'id': 3, 'wid': 'v02119874', 'name': 'rub.v.03', 'count': '4', 'syn': 'rub scratch itch', 'def': 'scrape or rub as if to relieve itching', 'ex': 'D'}",[]
cat,wash,washing,"wash, lave",cleanse (one's body) with soap and water,"{'id': 2, 'wid': 'v00036362', 'name': 'wash.v.02', 'count': '9', 'syn': 'wash lave', 'def': ""cleanse (one's body) with soap and water"", 'ex': []}",[]
cat,chase,chasing,"chase, chase_after, trail, tail, tag, give_chase, dog, go_after, track",go after with the intent to catch,"{'id': 1, 'wid': 'v02001858', 'name': 'chase.v.01', 'count': '23', 'syn': 'chase chase_after trail tail tag give_chase dog go_after track', 'def': 'go after with the intent to catch', 'ex': 'T'}",[]
cat,no_interaction,no_interaction,[],[],"{'id': 1, 'wid': 'v02001858', 'name': 'chase.v.01', 'count': '23', 'syn': 'chase chase_after trail tail tag give_chase dog go_after track', 'def': 'go after with the intent to catch', 'ex': 'T'}",[]
chair,carry,carrying,"transport, carry","move while supporting, either in a vehicle or in one's hands or on one's body","{'id': 1, 'wid': 'v01449974', 'name': 'transport.v.02', 'count': '74', 'syn': 'transport carry', 'def': ""move while supporting, either in a vehicle or in one's hands or on one's body"", 'ex': 'Y'}",[]
chair,hold,holding,"hold, take_hold",held by hand; to have or maintain in the grasp; to attach the hand to,"{'id': 2, 'wid': 'v01216670', 'name': 'hold.v.02', 'count': '67', 'syn': 'hold take_hold', 'def': ""have or hold in one's hands or grip"", 'ex': 'H'}",[]
chair,lie_on,lying_on,lie,"be lying, be prostrate; be in a horizontal position","{'id': 2, 'wid': 'v01547001', 'name': 'lie.v.02', 'count': '58', 'syn': 'lie', 'def': 'be lying, be prostrate; be in a horizontal position', 'ex': 'T'}",[]
chair,sit_on,sitting_on,"sit, sit_down",be seated,"{'id': 1, 'wid': 'v01543123', 'name': 'sit.v.01', 'count': '135', 'syn': 'sit sit_down', 'def': 'be seated', 'ex': []}",[]
chair,stand_on,standing_on,"stand, stand_up",be standing; be upright,"{'id': 1, 'wid': 'v01546111', 'name': 'stand.v.01', 'count': '171', 'syn': 'stand stand_up', 'def': 'be standing; be upright', 'ex': 'W'}",[]
chair,no_interaction,no_interaction,[],[],"{'id': 1, 'wid': 'v01546111', 'name': 'stand.v.01', 'count': '171', 'syn': 'stand stand_up', 'def': 'be standing; be upright', 'ex': 'W'}",[]
couch,carry,carrying,"transport, carry","move while supporting, either in a vehicle or in one's hands or on one's body","{'id': 1, 'wid': 'v01449974', 'name': 'transport.v.02', 'count': '74', 'syn': 'transport carry', 'def': ""move while supporting, either in a vehicle or in one's hands or on one's body"", 'ex': 'Y'}",[]
couch,lie_on,lying_on,lie,"be lying, be prostrate; be in a horizontal position","{'id': 2, 'wid': 'v01547001', 'name': 'lie.v.02', 'count': '58', 'syn': 'lie', 'def': 'be lying, be prostrate; be in a horizontal position', 'ex': 'T'}",[]
couch,sit_on,sitting_on,"sit, sit_down",be seated,"{'id': 1, 'wid': 'v01543123', 'name': 'sit.v.01', 'count': '135', 'syn': 'sit sit_down', 'def': 'be seated', 'ex': []}",[]
couch,no_interaction,no_interaction,[],[],"{'id': 1, 'wid': 'v01543123', 'name': 'sit.v.01', 'count': '135', 'syn': 'sit sit_down', 'def': 'be seated', 'ex': []}",[]
cow,feed,feeding,"feed, give",give food to,"{'id': 2, 'wid': 'v01178565', 'name': 'feed.v.02', 'count': '19', 'syn': 'feed give', 'def': 'give food to', 'ex': 'F'}",[]
cow,herd,herding,"herd, crowd",to gather and move a group of animals,"{'id': 1, 'wid': 'v02028722', 'name': 'herd.v.01', 'count': '7', 'syn': 'herd crowd', 'def': 'cause to herd, drive, or crowd together', 'ex': 'W'}",[]
cow,hold,holding,"hold, take_hold",held by hand; to have or maintain in the grasp; to attach the hand to,"{'id': 2, 'wid': 'v01216670', 'name': 'hold.v.02', 'count': '67', 'syn': 'hold take_hold', 'def': ""have or hold in one's hands or grip"", 'ex': 'H'}",[]
cow,hug,hugging,"embrace, hug, bosom, squeeze","squeeze (someone) tightly in your arms, usually with fondness","{'id': 1, 'wid': 'v01424456', 'name': 'embrace.v.02', 'count': '9', 'syn': 'embrace hug bosom squeeze', 'def': 'squeeze (someone) tightly in your arms, usually with fondness', 'ex': 'H'}",[]
cow,kiss,kissing,"snog, kiss, buss, osculate","touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.","{'id': 1, 'wid': 'v01431230', 'name': 'snog.v.01', 'count': '18', 'syn': 'snog kiss buss osculate', 'def': ""touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc."", 'ex': 'T'}",[]
cow,lasso,lassoing,"lasso, rope",catch with a lasso,"{'id': 1, 'wid': 'v01604251', 'name': 'lasso.v.01', 'count': '0', 'syn': 'lasso rope', 'def': 'catch with a lasso', 'ex': 'r'}",[]
cow,milk,milking,milk,take milk from female mammals,"{'id': 1, 'wid': 'v00194170', 'name': 'milk.v.01', 'count': '3', 'syn': 'milk', 'def': 'take milk from female mammals', 'ex': 'C'}",[]
cow,pet,petting,pet,stroke or caress gently,"{'id': 1, 'wid': 'v01425892', 'name': 'pet.v.01', 'count': '1', 'syn': 'pet', 'def': 'stroke or caress gently', 'ex': 'p'}",[]
cow,ride,riding,"ride, sit","sit and travel on the back of animal, usually while controlling its motions","{'id': 1, 'wid': 'v01957529', 'name': 'ride.v.01', 'count': '54', 'syn': 'ride sit', 'def': 'sit and travel on the back of animal, usually while controlling its motions', 'ex': 'S'}",[]
cow,walk,walking,walk,to accompany on foot; to cause (an animal) to go at a walk,"{'id': 9, 'wid': 'v01906823', 'name': 'walk.v.09', 'count': '0', 'syn': 'walk', 'def': 'make walk', 'ex': 'H'}",['a person walk with a cow (cows)']
cow,no_interaction,no_interaction,[],[],"{'id': 9, 'wid': 'v01906823', 'name': 'walk.v.09', 'count': '0', 'syn': 'walk', 'def': 'make walk', 'ex': 'H'}",[]
dining_table,clean,cleaning,"clean, make_clean","make clean by removing dirt, filth, or unwanted substances from","{'id': 1, 'wid': 'v01532589', 'name': 'clean.v.01', 'count': '16', 'syn': 'clean make_clean', 'def': 'make clean by removing dirt, filth, or unwanted substances from', 'ex': 'C'}",[]
dining_table,eat_at,eating_at,eat,eat a meal; take a meal,"{'id': 2, 'wid': 'v01166351', 'name': 'eat.v.02', 'count': '13', 'syn': 'eat', 'def': 'eat a meal; take a meal', 'ex': 'W'}",[]
dining_table,sit_at,sitting_at,"sit, sit_down",be seated,"{'id': 1, 'wid': 'v01543123', 'name': 'sit.v.01', 'count': '135', 'syn': 'sit sit_down', 'def': 'be seated', 'ex': []}",[]
dining_table,no_interaction,no_interaction,[],[],"{'id': 1, 'wid': 'v01543123', 'name': 'sit.v.01', 'count': '135', 'syn': 'sit sit_down', 'def': 'be seated', 'ex': []}",[]
dog,carry,carrying,"transport, carry","move while supporting, either in a vehicle or in one's hands or on one's body","{'id': 1, 'wid': 'v01449974', 'name': 'transport.v.02', 'count': '74', 'syn': 'transport carry', 'def': ""move while supporting, either in a vehicle or in one's hands or on one's body"", 'ex': 'Y'}",[]
dog,dry,drying,"dry, dry_out",remove the moisture from and make dry,"{'id': 1, 'wid': 'v00218475', 'name': 'dry.v.01', 'count': '12', 'syn': 'dry dry_out', 'def': 'remove the moisture from and make dry', 'ex': 'd'}",[]
dog,feed,feeding,"feed, give",give food to,"{'id': 2, 'wid': 'v01178565', 'name': 'feed.v.02', 'count': '19', 'syn': 'feed give', 'def': 'give food to', 'ex': 'F'}",[]
dog,groom,grooming,"dress, groom, curry",give a neat appearance to,"{'id': 2, 'wid': 'v00045639', 'name': 'dress.v.15', 'count': '1', 'syn': 'dress groom curry', 'def': 'give a neat appearance to', 'ex': 'g'}",[]
dog,hold,holding,"hold, take_hold",held by hand; to have or maintain in the grasp; to attach the hand to,"{'id': 2, 'wid': 'v01216670', 'name': 'hold.v.02', 'count': '67', 'syn': 'hold take_hold', 'def': ""have or hold in one's hands or grip"", 'ex': 'H'}",[]
dog,hose,hosing,"hose, hose_down",water with a hose,"{'id': 1, 'wid': 'v00228521', 'name': 'hose.v.01', 'count': '0', 'syn': 'hose hose_down', 'def': 'water with a hose', 'ex': 'h'}",[]
dog,hug,hugging,"embrace, hug, bosom, squeeze","squeeze (someone) tightly in your arms, usually with fondness","{'id': 1, 'wid': 'v01424456', 'name': 'embrace.v.02', 'count': '9', 'syn': 'embrace hug bosom squeeze', 'def': 'squeeze (someone) tightly in your arms, usually with fondness', 'ex': 'H'}",[]
